address_original,address
abrantes,"abrantes, portugal"
alcobaca,"alcobaca, portugal"
algueirao-mem martins,"algueirao-mem martins, portugal"
alverca do ribatejo,"alverca do ribatejo, portugal"
angra do heroismo,"angra do heroismo, portugal"
aveiro,"aveiro, portugal"
beja,"beja, portugal"
braga,"braga, portugal"
cadaval,"cadaval, portugal"
caldas da rainha,"caldas da rainha, portugal"
caminha,"caminha, portugal"
cascais,"cascais, portugal"
coimbra,"coimbra, portugal"
corroios,"corroios, portugal"
elvas,"elvas, portugal"
ericeira,"ericeira, portugal"
evora,"evora, portugal"
faro,"faro, portugal"
figueira da foz,"figueira da foz, portugal"
funchal,"funchal, portugal"
guimaraes,"guimaraes, portugal"
horta,"horta, portugal"
lagos,"lagos, portugal"
lamego,"lamego, portugal"
leiria,"leiria, portugal"
lisbon,"lisbon, portugal"
lousa,"lousa, portugal"
marinha grande,"marinha grande, portugal"
matosinhos,"matosinhos, portugal"
miranda do douro,"miranda do douro, portugal"
moita,"moita, portugal"
montijo,"montijo, portugal"
oeiras,"oeiras, portugal"
ponta delgada,"ponta delgada, portugal"
portalegre,"portalegre, portugal"
portimao,"portimao, portugal"
porto,"porto, portugal"
quarteira,"quarteira, portugal"
queluz,"queluz, portugal"
setubal,"setubal, portugal"
viana do castelo,"viana do castelo, portugal"
vila nova de gaia,"vila nova de gaia, portugal"
vilamoura,"vilamoura, portugal"
viseu,"viseu, portugal"
