address,place_id,osm_id,lat,long,display_name,class,type
"aerodromo da gandara, portugal",10091774,1042047247,39.7800137,-8.8206537,"Aeródromo de Leiria, Rua do Falcão, Outeiros da Gândara dos Olivais, Marrazes e Barosa, Leiria, 2419-008, Portugal",aeroway,aerodrome
"aerodromo da gandara, portugal",134409049,138371565,39.780328,-8.821428652,"Hangar Aeródromo Leiria, Rua do Falcão, Outeiros da Gândara dos Olivais, Marrazes e Barosa, Leiria, 2419-008, Portugal",building,hangar
"aerodromo de espinho, rua da lagoa, paramos, espinho, aveiro, 4500-524, portugal",137364707,151728909,40.97335145,-8.643567754,"Aer�dromo de Espinho, Avenida da Praia, Paramos, Espinho, Aveiro, 4500-524, Portugal",aeroway,aerodrome
alverca airbase,128440922,114787513,38.89060935,-9.033415912,"Alverca, Avenida Infante Dom Pedro, Alverca do Ribatejo, Alverca do Ribatejo e Sobralinho, Vila Franca de Xira, Lisbon, 2615-174, Portugal",railway,station
"beja airport, portugal",10250644,1042047227,38.0753421,-7.9242041,"Beja Airport, Trigaches e São Brissos, Beja, 7800-741, Portugal",military,airfield
"beja airport, portugal",10250644,1042047227,38.0753421,-7.9242041,"Beja Airport, Trigaches e São Brissos, Beja, 7800-741, Portugal",military,airfield
braga airport,288086988,4115866,41.5510583,-8.4280045,"Braga, Portugal",boundary,administrative
"braganca airport, portugal",142612866,169899771,41.4678653,-7.226261673,"Mirandela Airport, EM 15-4, São Pedro de Vale do Conde, Passos, Mirandela, Bragança District, 5370-644, Portugal",aeroway,aerodrome
"braganca airport, portugal",142612866,169899771,41.4678653,-7.226261673,"Mirandela Airport, EM 15-4, São Pedro de Vale do Conde, Passos, Mirandela, Bragança District, 5370-644, Portugal",aeroway,aerodrome
castelo branco aerodrome,172935839,290462960,-27.21765765,-53.27255314,"Águas Frias Aerodrome, Avenida Castelo Branco, Iraí, Região Geográfica Imediata de Frederico Westphalen, Região Geográfica Intermediária de Passo Fundo, Rio Grande do Sul, South Region, 98460-000, Brazil",aeroway,aerodrome
chaves airport,"	288056467","	4022982",41.7399453,-7.471477,"Chaves, Vila Real, Portugal",boundary,administrative
"coimbra airport, portugal","	138200452","	154800937",40.19779165,-8.509669608,"Coimbra Airport Shuttle, ER 1-7, Taveiro, Ameal e Arzila, Coimbra, 3045-504, Portugal",building,yes
"corvo airport, portugal",174106064,296775627,39.6713601,-31.11547402,"Corvo Airport, Rua da Matriz, Historical Centre, Vila do Corvo, Corvo, Azores, 9980, Portugal",aeroway,aerodrome
"cristiano ronaldo madeira airport, portugal",133498962,133790788,32.69817005,-16.77389415,"Cristiano Ronaldo Airport, Alameda das Chegadas, Santa Cruz, Madeira, 9100-105, Portugal",aeroway,aerodrome
"evora airport, portugal",140224336,162512814,38.5323012,-7.889139569,"Évora Airport, Rua Bartolomeu de Gusmão, PIAE - Parque de Indústria Aeronáutica de Évora, Malagueira e Horta das Figueiras, Évora, 7005-797, Portugal",aeroway,aerodrome
"faro airport, portugal",145584851,183076614,37.0174596,-7.973911066,"Faro Airport, Rua Bernardino Bonixe, Montenegro, Faro, 8001-701, Portugal",aeroway,aerodrome
"faro airport, portugal",123294278,93276133,37.0199065,-7.968362384,"Faro Airport, EN 125-10, Arábia, Montenegro, Faro, 8005-177, Portugal",aeroway,terminal
"faro airport, portugal",14319915,1372556396,37.0210744,-7.9674497,"Faro Airport, Rua Samuel Gacon, Arábia, Montenegro, Faro, 8005-177, Portugal",amenity,taxi
figo maduro airbase,183178650,336146807,38.78207825,-9.130170295,"Aer�dromo de Tr�nsito n.� 1 (AT1), Rua Ary dos Santos, Olivais, Lisbon, 1700-109, Portugal",aeroway,aerodrome
